ID 660 | Invalid episodes | https://hianime.ad/anime/astro-boy | https://myanimelist.net/anime/2747 |  | TV
ID 8780 | Invalid episodes | https://hianime.ad/anime/beyond-times-gaze-2 | https://myanimelist.net/anime/64398 |  | ONA
ID 1338 | Invalid episodes | https://hianime.ad/anime/cheongchun-blossom-uriui-bom | https://myanimelist.net/anime/63964 |  | TV
ID 8788 | Invalid episodes | https://hianime.ad/anime/chikyuu-daisuki-kikkun | https://myanimelist.net/anime/64578 |  | TV_SHORT
ID 1567 | Invalid episodes | https://hianime.ad/anime/crying-freeman | https://myanimelist.net/anime/1153 |  | OVA
ID 8792 | Invalid episodes | https://hianime.ad/anime/cyborg-009-nemesis | https://myanimelist.net/anime/62079 |  | ONA
ID 1699 | Invalid episodes | https://hianime.ad/anime/delinquent-detective | https://myanimelist.net/anime/2726 |  | OVA
ID 1859 | Invalid episodes | https://hianime.ad/anime/do-you-like-big-girls | https://myanimelist.net/anime/56734 |  | TV_SHORT
ID 2884 | Invalid episodes | https://hianime.ad/anime/green-green | https://myanimelist.net/anime/133 |  | TV
ID 3031 | Invalid episodes | https://hianime.ad/anime/hanakappa | https://myanimelist.net/anime/8336 |  | TV_SHORT
ID 8815 | Invalid episodes | https://hianime.ad/anime/jiaonang-jihua-qiji | https://myanimelist.net/anime/62948 |  | ONA
ID 8816 | Invalid episodes | https://hianime.ad/anime/jueshi-zhan-hun-2 | https://myanimelist.net/anime/64388 |  | ONA
ID 3946 | Invalid episodes | https://hianime.ad/anime/kimba-the-white-lion | https://myanimelist.net/anime/1572 |  | TV
ID 4032 | Invalid episodes | https://hianime.ad/anime/knight-hunters | https://myanimelist.net/anime/447 |  | TV
ID 4063 | Invalid episodes | https://hianime.ad/anime/komekami-girls | https://myanimelist.net/anime/940 |  | TV
ID 4110 | Invalid episodes | https://hianime.ad/anime/kumarba-season-3 | https://myanimelist.net/anime/63383 |  | TV_SHORT
ID 4765 | Invalid episodes | https://hianime.ad/anime/mazinkaiser | https://myanimelist.net/anime/1064 |  | OVA
ID 4992 | Invalid episodes | https://hianime.ad/anime/mofusand | https://myanimelist.net/anime/63151 |  | ONA
ID 5886 | Invalid episodes | https://hianime.ad/anime/pokemon-peek-a-boo | https://myanimelist.net/anime/51867 |  | ONA
ID 6051 | Invalid episodes | https://hianime.ad/anime/puni-puni-poemy | https://myanimelist.net/anime/564 |  | OVA
ID 6443 | Invalid episodes | https://hianime.ad/anime/sakura-wars | https://myanimelist.net/anime/561 |  | TV
ID 6502 | Invalid episodes | https://hianime.ad/anime/sazae-san | https://myanimelist.net/anime/2406 |  | TV
ID 6577 | Invalid episodes | https://hianime.ad/anime/semi-and-the-magic-cube | https://myanimelist.net/anime/36266 |  | TV
ID 8847 | Invalid episodes | https://hianime.ad/anime/shou-3-ashibe-qq-goma-chan | https://myanimelist.net/anime/62933 |  | TV_SHORT
ID 6747 | Invalid episodes | https://hianime.ad/anime/shuten-doji-the-star-hand-kid | https://myanimelist.net/anime/1227 |  | OVA
ID 6847 | Invalid episodes | https://hianime.ad/anime/sorcerer-on-the-rocks | https://myanimelist.net/anime/1228 |  | OVA
ID 7160 | Invalid episodes | https://hianime.ad/anime/sylvanian-families-magic-tricks-and-other-adventures | https://myanimelist.net/anime/8644 |  | Special
ID 7170 | Invalid episodes | https://hianime.ad/anime/tactics | https://myanimelist.net/anime/173 |  | TV
ID 7398 | Invalid episodes | https://hianime.ad/anime/the-daichis-earths-defense-family | https://myanimelist.net/anime/1962 |  | TV
ID 7670 | Invalid episodes | https://hianime.ad/anime/the-melody-of-oblivion | https://myanimelist.net/anime/159 |  | TV
ID 7690 | Invalid episodes | https://hianime.ad/anime/the-mysterious-cities-of-gold | https://myanimelist.net/anime/1279 |  | TV
ID 8288 | Invalid episodes | https://hianime.ad/anime/variable-geo | https://myanimelist.net/anime/1183 |  | OVA
ID 8512 | Invalid episodes | https://hianime.ad/anime/wushen-zhuzai-da-wei-pian | https://myanimelist.net/anime/41409 |  | ONA
ID 8884 | Invalid episodes | https://hianime.ad/anime/yi-nian-yongheng-4 | https://myanimelist.net/anime/62248 |  | ONA
ID 5068 | Invalid episodes | https://hianime.ad/anime/mu-shen-ji-4 | https://myanimelist.net/anime/61626 |  | ONA
